estimator,is_onnx,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_duration,std_duration,n_iter,best_iteration,iteration_throughput,latency,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,accuracy_score
HistGradientBoostingClassifier,False,predict,100000,1000,100,88efeb2a9429e0af21a89752448d8b28,62fc4b137de48fa1b9bde10f081865aa,0.0026103160003003723,0.0,11,,0.30647630398309744,2.610316000300372e-06,1.0,128,100,10,20,10,0.699
HistGradientBoostingClassifier,False,fit,100000,100000,100,eae42d67f44090a39a748ef28cffb712,62fc4b137de48fa1b9bde10f081865aa,2.8057686029997058,0.0,10,,0.02851268629724858,2.8057686029997058e-05,0.05,128,10,10,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,eae42d67f44090a39a748ef28cffb712,62fc4b137de48fa1b9bde10f081865aa,0.0036281220000091707,0.0,10,,0.22049975166159735,3.6281220000091706e-06,0.05,128,10,10,2,10,0.705
HistGradientBoostingClassifier,False,predict,100000,1000,100,eae42d67f44090a39a748ef28cffb712,62fc4b137de48fa1b9bde10f081865aa,0.002775816999928793,0.0,10,,0.2882034370495325,2.775816999928793e-06,0.05,128,10,10,2,10,0.705
HistGradientBoostingClassifier,False,fit,100000,100000,100,ce84ed9c752b5523329e1e53047cde9d,62fc4b137de48fa1b9bde10f081865aa,2.876159760000064,0.0,11,,0.02781486658446199,2.876159760000064e-05,1.0,255,30,10,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,ce84ed9c752b5523329e1e53047cde9d,62fc4b137de48fa1b9bde10f081865aa,0.0034781130002556893,0.0,11,,0.23000977827379068,3.478113000255689e-06,1.0,255,30,10,100,10,0.558
HistGradientBoostingClassifier,False,predict,100000,1000,100,ce84ed9c752b5523329e1e53047cde9d,62fc4b137de48fa1b9bde10f081865aa,0.002656010000009701,0.0,11,,0.3012036852259886,2.656010000009701e-06,1.0,255,30,10,100,10,0.558
HistGradientBoostingClassifier,False,fit,100000,100000,100,e5a3618045451fe88eb6b15bf5f6eedf,62fc4b137de48fa1b9bde10f081865aa,15.91334030500002,0.0,100,,0.005027228631242415,0.0001591334030500002,0.05,32,100,30,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,e5a3618045451fe88eb6b15bf5f6eedf,62fc4b137de48fa1b9bde10f081865aa,0.04446470099992439,0.0,100,,0.017991799832441476,4.446470099992439e-05,0.05,32,100,30,200,10,0.85
HistGradientBoostingClassifier,False,predict,100000,1000,100,e5a3618045451fe88eb6b15bf5f6eedf,62fc4b137de48fa1b9bde10f081865aa,0.038197858999865275,0.0,100,,0.020943582204511035,3.819785899986528e-05,0.05,32,100,30,200,10,0.85
HistGradientBoostingClassifier,False,fit,100000,100000,100,17d19c85f38bc358da3cf42b44c8c12e,62fc4b137de48fa1b9bde10f081865aa,4.969275758000094,0.0,30,,0.016098925456331757,4.969275758000094e-05,0.01,32,30,10,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,17d19c85f38bc358da3cf42b44c8c12e,62fc4b137de48fa1b9bde10f081865aa,0.007521851000092283,0.0,30,,0.10635679967473233,7.5218510000922835e-06,0.01,32,30,10,200,10,0.704
HistGradientBoostingClassifier,False,predict,100000,1000,100,17d19c85f38bc358da3cf42b44c8c12e,62fc4b137de48fa1b9bde10f081865aa,0.007253149000007397,0.0,30,,0.11029692068909437,7.253149000007397e-06,0.01,32,30,10,200,10,0.704
HistGradientBoostingClassifier,False,fit,100000,100000,100,87f9708f0420a8cb743f8837ab3b25b3,62fc4b137de48fa1b9bde10f081865aa,3.6455214870002237,0.0,30,,0.021944734185568963,3.645521487000224e-05,0.5,128,30,3,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,87f9708f0420a8cb743f8837ab3b25b3,62fc4b137de48fa1b9bde10f081865aa,0.003847623999718053,0.0,30,,0.20792052447396694,3.847623999718052e-06,0.5,128,30,3,20,10,0.723
HistGradientBoostingClassifier,False,predict,100000,1000,100,87f9708f0420a8cb743f8837ab3b25b3,62fc4b137de48fa1b9bde10f081865aa,0.005025632000069891,0.0,30,,0.1591839593485704,5.025632000069891e-06,0.5,128,30,3,20,10,0.723
HistGradientBoostingClassifier,False,fit,100000,100000,100,bad4f04516af88dc9983eae0c2e64f20,62fc4b137de48fa1b9bde10f081865aa,29.985321384000144,0.0,104,,0.0026679720712510743,0.00029985321384000147,0.1,255,300,100,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,bad4f04516af88dc9983eae0c2e64f20,62fc4b137de48fa1b9bde10f081865aa,0.12930112899994128,0.0,104,,0.006187107616054639,0.00012930112899994128,0.1,255,300,100,100,10,0.86
HistGradientBoostingClassifier,False,predict,100000,1000,100,bad4f04516af88dc9983eae0c2e64f20,62fc4b137de48fa1b9bde10f081865aa,0.03956735400015532,0.0,104,,0.0202186883660924,3.9567354000155316e-05,0.1,255,300,100,100,10,0.86
HistGradientBoostingClassifier,False,fit,100000,100000,100,2554ab08fb5e1a2da86886d31cdd968c,62fc4b137de48fa1b9bde10f081865aa,2.732036922000134,0.0,11,,0.029282181128588745,2.732036922000134e-05,1.0,128,30,10,10,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,2554ab08fb5e1a2da86886d31cdd968c,62fc4b137de48fa1b9bde10f081865aa,0.0033787219999794615,0.0,11,,0.23677591704936454,3.3787219999794617e-06,1.0,128,30,10,10,10,0.691
HistGradientBoostingClassifier,False,predict,100000,1000,100,2554ab08fb5e1a2da86886d31cdd968c,62fc4b137de48fa1b9bde10f081865aa,0.010057164000045304,0.0,11,,0.0795452873192081,1.0057164000045305e-05,1.0,128,30,10,10,10,0.691
HistGradientBoostingClassifier,False,fit,100000,100000,100,11242e0ad4708b7c9119c4f74e6d4997,62fc4b137de48fa1b9bde10f081865aa,3.0618150370000876,0.0,10,,0.02612829286983403,3.061815037000088e-05,0.05,32,10,30,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,11242e0ad4708b7c9119c4f74e6d4997,62fc4b137de48fa1b9bde10f081865aa,0.005769136999788316,0.0,10,,0.1386689205039426,5.769136999788315e-06,0.05,32,10,30,20,10,0.787
HistGradientBoostingClassifier,False,predict,100000,1000,100,11242e0ad4708b7c9119c4f74e6d4997,62fc4b137de48fa1b9bde10f081865aa,0.0034609219997037144,0.0,10,,0.23115227678303268,3.4609219997037146e-06,0.05,32,10,30,20,10,0.787
HistGradientBoostingClassifier,False,fit,100000,100000,100,85470f467adf36ad8d4b008e286f664c,62fc4b137de48fa1b9bde10f081865aa,33.93747252999992,0.0,300,,0.002357276309521338,0.00033937472529999924,0.1,32,300,30,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,85470f467adf36ad8d4b008e286f664c,62fc4b137de48fa1b9bde10f081865aa,0.11837237000008827,0.0,300,,0.006758333891594833,0.00011837237000008826,0.1,32,300,30,20,10,0.862
HistGradientBoostingClassifier,False,predict,100000,1000,100,85470f467adf36ad8d4b008e286f664c,62fc4b137de48fa1b9bde10f081865aa,0.05876052699977663,0.0,300,,0.01361458177533093,5.876052699977663e-05,0.1,32,300,30,20,10,0.862
HistGradientBoostingClassifier,False,fit,100000,100000,100,26182f765c18ae5cd4aa95fcafd07fb7,62fc4b137de48fa1b9bde10f081865aa,46.58682266000005,0.0,300,,0.0017172237863023196,0.0004658682266000005,0.01,32,300,30,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,26182f765c18ae5cd4aa95fcafd07fb7,62fc4b137de48fa1b9bde10f081865aa,0.14158136900005047,0.0,300,,0.005650460972726678,0.00014158136900005048,0.01,32,300,30,2,10,0.848
HistGradientBoostingClassifier,False,predict,100000,1000,100,26182f765c18ae5cd4aa95fcafd07fb7,62fc4b137de48fa1b9bde10f081865aa,0.08373712700040414,0.0,300,,0.009553707282029618,8.373712700040415e-05,0.01,32,300,30,2,10,0.848
HistGradientBoostingClassifier,False,fit,100000,100000,100,8cd94a199a0378c3f35128dae702a220,62fc4b137de48fa1b9bde10f081865aa,13.093707983999593,0.0,100,,0.006109804808367452,0.00013093707983999594,0.01,255,100,10,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,8cd94a199a0378c3f35128dae702a220,62fc4b137de48fa1b9bde10f081865aa,0.02126013800034343,0.0,100,,0.037629106640186295,2.1260138000343432e-05,0.01,255,100,10,200,10,0.732
HistGradientBoostingClassifier,False,predict,100000,1000,100,8cd94a199a0378c3f35128dae702a220,62fc4b137de48fa1b9bde10f081865aa,0.029369329000019206,0.0,100,,0.02723930124516896,2.9369329000019207e-05,0.01,255,100,10,200,10,0.732
HistGradientBoostingClassifier,False,fit,100000,100000,100,ceb20c6f340c398e23ea617e84db153c,62fc4b137de48fa1b9bde10f081865aa,3.6942687470000237,0.0,24,,0.02165516519743318,3.694268747000024e-05,0.5,32,30,10,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,ceb20c6f340c398e23ea617e84db153c,62fc4b137de48fa1b9bde10f081865aa,0.005630962999930489,0.0,24,,0.14207161368488402,5.630962999930489e-06,0.5,32,30,10,20,10,0.816
HistGradientBoostingClassifier,False,predict,100000,1000,100,ceb20c6f340c398e23ea617e84db153c,62fc4b137de48fa1b9bde10f081865aa,0.00552986200000305,0.0,24,,0.14466907130766712,5.52986200000305e-06,0.5,32,30,10,20,10,0.816
HistGradientBoostingClassifier,False,fit,100000,100000,100,88e2249232c412a2d7f617655e8db318,62fc4b137de48fa1b9bde10f081865aa,2.7133465689998957,0.0,10,,0.029483885661346593,2.7133465689998956e-05,1.0,255,10,10,10,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,88e2249232c412a2d7f617655e8db318,62fc4b137de48fa1b9bde10f081865aa,0.0031340350001300976,0.0,10,,0.2552619865339063,3.134035000130098e-06,1.0,255,10,10,10,10,0.597
HistGradientBoostingClassifier,False,predict,100000,1000,100,88e2249232c412a2d7f617655e8db318,62fc4b137de48fa1b9bde10f081865aa,0.002480627999830176,0.0,10,,0.3224989801190537,2.480627999830176e-06,1.0,255,10,10,10,10,0.597
HistGradientBoostingClassifier,False,fit,100000,100000,100,187fb83e96448cc14e9369ac6bec8224,62fc4b137de48fa1b9bde10f081865aa,4.124264981000124,0.0,10,,0.019397395746526498,4.124264981000124e-05,0.05,64,10,100,10,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,187fb83e96448cc14e9369ac6bec8224,62fc4b137de48fa1b9bde10f081865aa,0.01291194599980372,0.0,10,,0.0619581277688244,1.291194599980372e-05,0.05,64,10,100,10,10,0.826
HistGradientBoostingClassifier,False,predict,100000,1000,100,187fb83e96448cc14e9369ac6bec8224,62fc4b137de48fa1b9bde10f081865aa,0.004062645999965753,0.0,10,,0.19691600006664225,4.062645999965753e-06,0.05,64,10,100,10,10,0.826
HistGradientBoostingClassifier,False,fit,100000,100000,100,70c071a7f1e19cbe1a7eafe9202073df,62fc4b137de48fa1b9bde10f081865aa,3.7995614430001297,0.0,25,,0.021055061538057952,3.7995614430001294e-05,0.5,64,100,10,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,70c071a7f1e19cbe1a7eafe9202073df,62fc4b137de48fa1b9bde10f081865aa,0.005731664999984787,0.0,25,,0.1395754985684131,5.731664999984787e-06,0.5,64,100,10,20,10,0.806
HistGradientBoostingClassifier,False,predict,100000,1000,100,70c071a7f1e19cbe1a7eafe9202073df,62fc4b137de48fa1b9bde10f081865aa,0.00828979400012031,0.0,25,,0.09650420746141455,8.28979400012031e-06,0.5,64,100,10,20,10,0.806
HistGradientBoostingClassifier,False,fit,100000,100000,100,4585ea51e1885aeed29be33786ee17ce,62fc4b137de48fa1b9bde10f081865aa,2.286913701999765,0.0,10,,0.034981643570566275,2.286913701999765e-05,0.05,32,10,3,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,4585ea51e1885aeed29be33786ee17ce,62fc4b137de48fa1b9bde10f081865aa,0.002448926999932155,0.0,10,,0.3266736819930374,2.448926999932155e-06,0.05,32,10,3,200,10,0.582
HistGradientBoostingClassifier,False,predict,100000,1000,100,4585ea51e1885aeed29be33786ee17ce,62fc4b137de48fa1b9bde10f081865aa,0.0021867249997740146,0.0,10,,0.3658438990191612,2.1867249997740144e-06,0.05,32,10,3,200,10,0.582
HistGradientBoostingClassifier,False,fit,100000,100000,100,cdbf5beb767308c73aaba9a638052f9a,62fc4b137de48fa1b9bde10f081865aa,31.249541679999766,0.0,100,,0.0025600375461250794,0.00031249541679999766,0.05,255,100,100,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,cdbf5beb767308c73aaba9a638052f9a,62fc4b137de48fa1b9bde10f081865aa,0.12193286799993075,0.0,100,,0.0065609873131209735,0.00012193286799993075,0.05,255,100,100,20,10,0.861
HistGradientBoostingClassifier,False,predict,100000,1000,100,cdbf5beb767308c73aaba9a638052f9a,62fc4b137de48fa1b9bde10f081865aa,0.034031881999908364,0.0,100,,0.02350736876679797,3.4031881999908364e-05,0.05,255,100,100,20,10,0.861
HistGradientBoostingClassifier,False,fit,100000,100000,100,dda0719a2e819ae5a93d939321910160,62fc4b137de48fa1b9bde10f081865aa,20.975209266999627,0.0,300,,0.0038140263099002442,0.00020975209266999628,0.05,32,300,3,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,dda0719a2e819ae5a93d939321910160,62fc4b137de48fa1b9bde10f081865aa,0.023278659999959928,0.0,300,,0.034366239293901674,2.3278659999959927e-05,0.05,32,300,3,2,10,0.731
HistGradientBoostingClassifier,False,predict,100000,1000,100,dda0719a2e819ae5a93d939321910160,62fc4b137de48fa1b9bde10f081865aa,0.043073881000054826,0.0,300,,0.018572740171682738,4.307388100005482e-05,0.05,32,300,3,2,10,0.731
HistGradientBoostingClassifier,False,fit,100000,100000,100,e4f2e565801ab8e1d81304909ebafcc2,62fc4b137de48fa1b9bde10f081865aa,3.240818424000281,0.0,10,,0.024685122562729873,3.240818424000281e-05,0.01,128,10,30,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,e4f2e565801ab8e1d81304909ebafcc2,62fc4b137de48fa1b9bde10f081865aa,0.005585462999988522,0.0,10,,0.1432289498653279,5.585462999988522e-06,0.01,128,10,30,100,10,0.758
HistGradientBoostingClassifier,False,predict,100000,1000,100,e4f2e565801ab8e1d81304909ebafcc2,62fc4b137de48fa1b9bde10f081865aa,0.006358470999657584,0.0,10,,0.12581641090178466,6.3584709996575836e-06,0.01,128,10,30,100,10,0.758
HistGradientBoostingClassifier,False,fit,100000,100000,100,88a97e2a8f111b57b7070f4f807b54a0,62fc4b137de48fa1b9bde10f081865aa,40.56972918299971,0.0,300,,0.001971913582147428,0.0004056972918299971,0.05,255,300,30,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,88a97e2a8f111b57b7070f4f807b54a0,62fc4b137de48fa1b9bde10f081865aa,0.12519800500012934,0.0,300,,0.006389878177365314,0.00012519800500012936,0.05,255,300,30,200,10,0.85
HistGradientBoostingClassifier,False,predict,100000,1000,100,88a97e2a8f111b57b7070f4f807b54a0,62fc4b137de48fa1b9bde10f081865aa,0.07373232700001608,0.0,300,,0.01085005766873227,7.373232700001609e-05,0.05,255,300,30,200,10,0.85
HistGradientBoostingClassifier,False,fit,100000,100000,100,4100e366493f3c5b9a6ef1810d5d93be,62fc4b137de48fa1b9bde10f081865aa,21.35763352799995,0.0,300,,0.003745733341435962,0.0002135763352799995,0.1,32,300,3,10,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,4100e366493f3c5b9a6ef1810d5d93be,62fc4b137de48fa1b9bde10f081865aa,0.023001358000328764,0.0,300,,0.03478055513020428,2.3001358000328765e-05,0.1,32,300,3,10,10,0.772
HistGradientBoostingClassifier,False,predict,100000,1000,100,4100e366493f3c5b9a6ef1810d5d93be,62fc4b137de48fa1b9bde10f081865aa,0.043685989000096015,0.0,300,,0.0183125074723212,4.368598900009602e-05,0.1,32,300,3,10,10,0.772
